CustomerID,Age,FamilyMember,Region,Gender,EducationScore,EmploymentScore,IncomeGroup,Marital Status,DaysSinceFirstProduct,NumberofTransactions,CashTransactions,CardTransaction,ChequeTransaction,DaysSinceLastTransaction,DaystoNextRenewal,NumberPremiumPaid,PremiumAmt,AquisitionChannel,Carwonership,TwowheelerOwnership,MedicalBill,TotalPoliciesMatured,TotalPoliciesBought,AnnualPolicies,SemiAnnualPolicies,QuarterlyPolicies,MonthlyPolicies,SalesRepRating,Email_Response,Call_Respone,Message_Response,Complaintslogged,NumberofClaims,ClaimsPaid,ClaimsDenied,CarInsurance,TwoWheelerInsurance,CommercialInsurance,HealthInsurance,AccidentIsnurance,TravelInsurance,HomeInsurance,LifeInsurance
C36,56,1,Region 5,Male,5,6,10,1,1712,21,10,6,5,206,278,23,12783,Direct,1,1,1,5,5,5,0,0,0,5,0,1,1,1,2,1,1,1,0,0,1,1,0,1,1
C37,57,4,Region 5,Female,10,10,9,0,571,11,6,4,1,14,235,4,14785,Direct,1,1,1,1,3,1,2,0,0,9,1,1,0,4,5,3,2,0,0,1,0,0,0,1,1
C38,28,6,Region 1,Female,5,6,10,0,1015,7,2,0,5,178,17,7,9301,Direct,1,0,0,1,3,2,1,0,0,6,1,0,0,1,5,0,5,0,0,0,1,0,0,1,1
C39,53,3,Region 9,Male,6,8,5,0,374,17,5,2,10,258,80,4,6724,Direct,0,0,1,2,4,2,1,1,0,8,1,0,1,3,1,1,0,0,0,0,1,0,1,1,1
C40,27,2,Region 7,Female,5,6,9,1,1554,17,6,1,10,20,118,16,7339,Direct,1,1,0,0,4,1,2,1,0,8,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0
C41,27,4,Region 2,Female,9,5,6,0,1230,18,3,6,9,178,274,13,10441,Online,1,0,0,0,4,4,0,0,0,5,1,0,0,3,3,1,2,0,0,1,0,1,1,0,1
C42,28,2,Region 8,Female,6,8,10,1,1730,15,6,0,9,146,118,23,8034,Direct,1,1,0,2,6,0,2,3,1,10,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
C43,62,5,Region 8,Female,9,10,7,1,1378,4,0,3,1,50,92,22,12339,Reseller,1,1,1,0,6,6,0,0,0,8,0,0,0,4,5,1,4,1,1,0,1,1,1,0,1
C44,28,2,Region 9,Female,5,9,7,0,709,15,4,3,8,321,168,0,6431,Online,1,0,0,3,3,0,0,0,3,7,0,0,0,5,4,1,3,0,0,0,0,0,1,1,1
C45,49,1,Region 1,Female,6,7,5,0,1665,16,4,5,7,68,213,17,11740,Online,1,1,0,3,4,1,3,0,0,7,1,0,0,0,5,1,4,1,0,1,1,0,0,0,1
C46,60,2,Region 2,Male,8,9,6,1,241,18,4,9,5,360,293,3,8565,Online,1,0,0,3,6,6,0,0,0,7,0,1,1,2,5,4,1,0,0,1,1,1,1,1,1
C47,58,3,Region 9,Male,7,8,7,0,1298,20,7,5,8,216,314,10,10181,Direct,1,1,0,0,6,2,1,0,3,10,1,1,0,3,4,4,0,0,0,1,1,1,1,1,1
C48,28,3,Region 9,Female,8,7,6,0,168,17,1,10,6,104,332,0,14882,Online,0,1,0,2,4,1,0,1,2,7,1,0,1,4,5,2,3,0,1,0,1,1,1,0,0
C49,43,2,Region 7,Female,7,7,8,0,82,21,10,6,5,269,115,0,14072,Reseller,1,0,0,2,5,4,1,0,0,8,1,1,0,4,0,0,0,0,0,1,1,0,1,1,1
C50,52,2,Region 5,Male,8,8,8,1,1659,25,10,5,10,118,339,31,11161,Reseller,1,1,0,3,7,7,0,0,0,9,0,1,0,0,2,1,1,1,1,1,1,1,1,0,1
C51,43,1,Region 5,Female,10,7,9,0,1043,7,3,3,1,80,117,10,12029,Online,1,1,0,2,4,3,0,1,0,5,0,1,1,0,2,0,2,1,1,0,1,0,1,0,0
C52,59,6,Region 4,Male,7,9,9,1,1278,11,1,4,6,113,288,10,8567,Direct,1,0,1,1,3,0,3,0,0,6,0,1,1,5,2,1,1,1,0,0,1,1,0,0,0
C53,49,2,Region 3,Female,9,10,8,1,91,11,1,9,1,160,227,0,14921,Reseller,1,1,1,0,4,3,0,0,1,9,1,0,1,5,1,1,0,1,1,0,0,0,1,1,0
C54,50,2,Region 3,Female,7,10,5,0,332,14,7,1,6,247,252,5,5530,Reseller,1,1,1,1,6,0,6,0,0,10,1,1,0,4,0,0,0,0,1,1,1,1,1,1,0
C55,44,2,Region 4,Female,6,7,8,0,212,18,9,3,6,140,222,0,11899,Reseller,0,1,0,0,2,1,0,0,1,9,1,0,0,0,5,3,2,0,0,1,1,0,0,0,0
C56,25,5,Region 4,Female,7,7,6,1,287,9,7,1,1,154,251,2,5446,Reseller,1,1,0,4,4,3,1,0,0,6,0,0,0,2,4,1,3,0,0,1,1,0,1,0,1
C57,39,3,Region 3,Male,10,7,6,1,1128,24,10,10,4,346,227,12,8711,Direct,1,1,0,3,4,1,2,1,0,6,0,1,1,0,4,3,1,1,1,0,0,0,1,0,1
C58,64,4,Region 9,Male,8,7,7,0,394,11,1,8,2,78,252,1,7423,Reseller,1,1,1,1,1,1,0,0,0,5,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0
C59,59,1,Region 9,Male,10,6,5,1,1083,11,5,2,4,62,238,17,11388,Reseller,1,1,0,1,6,6,0,0,0,6,1,0,0,2,5,2,3,1,1,0,1,1,1,0,1
C60,50,6,Region 7,Female,9,9,8,0,521,19,6,7,6,115,112,1,13823,Reseller,1,1,1,0,6,0,1,0,5,9,1,0,0,1,4,0,4,1,1,0,1,1,1,0,1
C61,30,4,Region 1,Female,8,5,7,1,253,8,2,3,3,317,193,0,6592,Reseller,0,1,0,2,3,0,0,1,2,6,0,0,1,0,2,1,1,0,1,0,0,0,0,1,1
C62,52,6,Region 10,Male,10,6,10,1,347,11,2,6,3,68,361,2,14470,Online,1,0,1,3,4,2,2,0,0,9,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1
C63,25,6,Region 1,Male,10,7,9,0,1022,6,1,3,2,303,176,11,13563,Online,0,1,0,2,4,4,0,0,0,10,1,0,1,2,0,0,0,0,1,0,0,1,1,1,0
C64,33,6,Region 5,Male,6,9,9,0,135,22,5,9,8,313,315,0,6243,Online,1,1,1,2,2,1,0,0,1,10,1,0,0,5,4,2,2,0,0,0,0,0,1,1,0
C65,54,5,Region 6,Male,8,10,5,0,387,8,3,4,1,336,111,5,11686,Reseller,1,1,0,2,5,5,0,0,0,10,0,1,0,2,1,1,0,1,1,0,1,0,1,1,0
C66,55,3,Region 6,Female,6,10,9,1,1312,19,10,8,1,39,295,14,14095,Reseller,1,1,0,2,4,4,0,0,0,8,1,0,1,2,3,3,0,1,0,1,1,1,0,0,0
C67,26,4,Region 9,Male,5,6,6,0,1574,16,1,8,7,291,262,20,6691,Direct,1,1,1,5,5,3,1,1,0,8,1,1,1,1,3,1,2,1,0,1,1,1,0,1,0
C68,45,4,Region 3,Female,7,8,7,1,1227,6,1,2,3,169,146,6,10365,Reseller,0,1,0,1,3,1,0,1,1,6,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
C69,39,4,Region 6,Female,10,6,8,0,493,19,8,3,8,205,152,5,13941,Online,0,1,1,5,6,1,3,0,2,10,1,0,1,0,3,2,1,0,1,1,1,1,0,1,1
C70,53,3,Region 5,Female,10,6,5,0,1643,20,6,6,8,296,284,18,8975,Direct,1,1,0,6,6,2,2,0,2,8,0,1,0,3,5,5,0,1,1,0,1,1,1,0,1
C71,50,1,Region 3,Female,8,8,7,0,1465,11,6,5,0,288,241,20,5854,Reseller,1,1,1,4,5,5,0,0,0,9,1,1,1,0,5,0,5,1,1,0,1,0,1,0,1
C72,57,4,Region 9,Female,5,9,8,0,561,12,5,3,4,347,136,7,6120,Reseller,1,1,1,3,6,5,0,0,1,9,1,1,0,3,5,5,0,1,1,1,1,0,1,0,1
C73,32,3,Region 1,Male,6,10,10,1,998,19,10,6,3,300,93,10,7514,Reseller,1,1,0,3,4,4,0,0,0,9,0,0,0,3,5,3,2,0,1,0,1,0,0,1,1
C74,32,1,Region 5,Male,6,6,7,0,468,13,8,0,5,252,172,5,8655,Online,1,1,1,0,5,2,2,1,0,10,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
C75,54,5,Region 4,Male,9,5,10,0,1803,17,3,10,4,106,253,23,7859,Direct,1,1,1,4,5,3,2,0,0,6,1,0,1,4,4,2,2,1,1,0,1,0,1,1,0
C76,38,5,Region 5,Female,9,5,10,1,783,16,1,6,9,166,113,4,11077,Online,1,0,1,2,2,2,0,0,0,5,1,0,1,5,0,0,0,0,0,0,1,1,0,0,0
C77,37,2,Region 2,Female,7,7,8,1,1590,17,3,5,9,152,155,17,9274,Reseller,1,1,1,0,4,0,3,1,0,7,0,0,1,2,0,0,0,1,1,1,0,1,0,0,0
C78,32,2,Region 1,Male,10,10,5,0,1614,27,9,9,9,336,267,12,10740,Online,0,1,1,0,5,0,1,2,2,8,0,1,1,2,1,1,0,0,1,1,0,1,1,0,1
C79,26,6,Region 1,Male,8,9,9,0,800,17,7,7,3,99,319,8,6408,Direct,1,0,1,3,4,4,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
C80,25,5,Region 10,Male,10,10,9,1,116,10,1,2,7,328,110,0,6368,Online,1,1,1,3,5,3,2,0,0,9,0,0,0,3,4,2,2,0,1,0,1,1,1,0,1
C81,55,1,Region 5,Male,8,9,5,1,963,22,9,9,4,11,50,9,11391,Online,1,1,1,3,7,1,3,0,3,10,0,0,0,3,5,3,2,0,1,1,1,1,1,1,1
C82,62,2,Region 8,Female,5,8,6,0,287,26,9,7,10,36,250,2,10843,Reseller,1,1,1,1,5,2,2,0,1,5,0,1,0,3,2,0,2,1,0,1,0,1,1,0,1
C83,38,4,Region 4,Male,8,6,6,1,257,4,3,0,1,296,44,0,7985,Reseller,1,1,0,1,2,1,1,0,0,7,0,0,0,4,5,0,5,0,1,0,0,0,0,0,1
C84,53,4,Region 2,Male,6,5,10,1,979,5,1,4,0,319,330,10,5685,Reseller,1,0,1,3,4,4,0,0,0,9,0,1,0,1,3,1,2,1,0,1,1,0,0,1,0
C85,26,3,Region 8,Female,5,10,7,0,1396,7,7,0,0,18,335,17,13690,Reseller,1,1,0,0,5,1,2,2,0,6,1,0,0,5,0,0,0,1,0,1,1,0,1,1,0
C86,55,2,Region 8,Female,10,9,6,0,1658,9,1,3,5,101,73,9,6095,Direct,1,1,1,3,3,2,0,0,1,7,1,0,1,3,3,0,3,1,0,1,0,0,0,1,0
C87,45,5,Region 3,Female,7,10,10,1,661,14,2,6,6,184,283,4,5294,Direct,1,0,0,0,3,1,2,0,0,9,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
C88,32,5,Region 5,Male,6,7,8,0,457,22,8,5,9,255,114,3,10911,Direct,1,1,0,4,4,1,2,0,1,10,0,1,0,5,3,1,2,1,1,0,0,0,1,0,1
C89,53,4,Region 9,Male,8,5,9,0,1604,4,4,0,0,251,215,16,13207,Reseller,1,1,0,1,4,1,2,1,0,6,1,1,0,2,4,4,0,0,1,0,0,1,0,1,1
C90,64,5,Region 9,Male,6,7,7,1,1388,17,4,4,9,116,319,7,10418,Reseller,0,0,0,2,2,0,2,0,0,8,0,0,1,4,1,1,0,0,0,1,0,0,0,0,1
C91,28,3,Region 2,Male,7,10,10,1,713,13,4,9,0,305,231,1,7408,Direct,1,1,1,4,6,0,1,0,5,10,1,1,1,3,5,5,0,0,1,1,1,1,0,1,1
C92,38,4,Region 8,Male,7,7,10,0,909,24,10,8,6,136,248,2,11350,Reseller,0,1,1,2,3,0,0,1,2,5,1,0,0,2,4,4,0,0,1,1,0,0,1,0,0
C93,58,2,Region 5,Male,8,9,10,0,290,20,8,6,6,157,257,2,11783,Online,1,1,0,3,4,3,1,0,0,9,1,1,1,5,4,2,2,1,0,0,0,1,0,1,1
C94,25,5,Region 9,Male,5,10,6,1,1127,11,5,2,4,323,317,12,9747,Direct,0,0,0,3,4,3,1,0,0,10,1,0,1,5,0,0,0,0,0,0,1,1,1,0,1
C95,35,1,Region 4,Female,9,6,9,1,1230,14,9,4,1,11,47,16,6839,Online,1,1,0,5,5,5,0,0,0,7,0,0,0,0,4,2,2,1,0,0,1,1,1,1,0
C96,25,4,Region 9,Male,9,7,6,1,532,14,1,7,6,27,300,4,9115,Online,0,1,1,1,3,3,0,0,0,10,1,1,0,5,4,3,1,0,1,0,0,1,0,0,1
C97,55,6,Region 7,Female,9,7,9,0,1736,18,8,8,2,357,241,4,5171,Reseller,1,1,0,4,7,0,0,1,6,8,0,1,1,3,0,0,0,1,1,1,0,1,1,1,1
C98,63,1,Region 2,Male,6,8,10,1,848,17,4,9,4,88,322,13,5760,Online,1,1,0,5,6,4,2,0,0,9,0,1,0,1,2,2,0,1,1,1,1,0,1,1,0
C99,33,5,Region 8,Female,7,5,10,1,45,13,10,2,1,304,205,0,8740,Online,1,1,1,1,6,5,0,0,1,5,1,0,0,3,4,1,3,1,0,1,1,1,1,1,0
C100,35,3,Region 10,Female,9,9,6,1,721,15,6,8,1,146,148,2,7089,Reseller,0,1,0,1,2,1,1,0,0,5,1,0,0,0,5,2,3,0,1,0,0,1,0,0,0
C101,63,2,Region 2,Male,5,8,7,0,751,5,5,0,0,319,196,4,11733,Reseller,1,1,1,2,2,1,1,0,0,10,0,1,1,1,4,0,4,0,1,1,0,0,0,0,0
C102,62,2,Region 2,Male,5,5,9,0,1286,11,3,7,1,310,339,0,6864,Online,1,1,0,2,3,0,0,0,3,10,1,1,0,3,5,2,3,1,1,0,0,0,0,0,1
C103,29,1,Region 9,Male,5,10,9,0,623,14,0,5,9,344,215,7,10214,Reseller,1,0,0,4,5,4,0,1,0,7,1,0,1,3,4,3,1,1,0,1,1,1,1,0,0
C104,58,4,Region 8,Male,10,9,8,1,1577,13,4,3,6,148,337,4,9335,Direct,1,1,1,1,2,0,0,1,1,6,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
C105,40,4,Region 4,Male,9,6,7,1,1060,23,10,5,8,42,27,21,8294,Direct,1,1,1,7,8,1,4,3,0,10,0,1,0,3,5,2,3,1,1,1,1,1,1,1,1
C106,43,3,Region 3,Female,5,10,6,1,1804,8,1,2,5,294,87,28,8314,Direct,1,1,1,3,6,0,1,5,0,6,0,1,0,5,1,0,1,1,1,1,1,1,0,1,0
C107,37,2,Region 10,Female,7,10,5,1,1724,11,7,3,1,95,323,18,10361,Direct,0,1,1,2,4,3,1,0,0,8,0,1,0,4,4,1,3,0,0,0,1,1,1,0,1
C108,30,6,Region 9,Male,7,9,10,0,126,12,2,3,7,349,240,0,13115,Reseller,1,0,1,0,3,0,0,2,1,7,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
C109,57,2,Region 8,Female,7,7,10,0,1176,13,7,3,3,155,50,6,7669,Reseller,1,0,1,2,2,2,0,0,0,8,0,1,1,1,4,2,2,0,0,0,1,0,1,0,0
C110,41,3,Region 5,Female,8,6,8,0,1741,11,1,1,9,22,109,4,6157,Direct,1,0,0,3,3,1,0,0,2,7,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0
C111,44,3,Region 5,Female,5,5,5,1,1377,26,7,9,10,280,38,11,14460,Direct,0,0,1,1,3,3,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1
C112,45,2,Region 10,Female,9,6,6,0,822,5,2,1,2,329,115,13,9147,Online,1,1,0,2,6,1,4,1,0,9,0,1,1,4,1,0,1,1,1,0,1,0,1,1,1
C113,56,1,Region 8,Female,7,6,5,0,529,10,4,5,1,299,343,3,6540,Online,0,1,0,5,6,1,0,2,3,6,0,1,0,2,5,2,3,0,1,1,0,1,1,1,1
C114,31,2,Region 6,Male,6,6,9,1,447,16,7,9,0,53,263,2,11500,Reseller,0,1,1,1,3,1,1,0,1,5,1,0,1,5,1,1,0,0,1,0,0,1,1,0,0
C115,47,5,Region 1,Male,8,6,6,0,1299,14,1,3,10,90,35,10,7277,Reseller,1,1,0,0,5,3,0,0,2,10,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1
C116,56,2,Region 5,Female,6,5,5,0,532,7,0,1,6,25,284,6,13536,Reseller,0,1,1,0,5,4,1,0,0,8,1,1,1,2,0,0,0,0,0,0,1,1,1,1,1
C117,62,4,Region 6,Female,9,8,8,1,1387,10,7,1,2,315,58,6,8850,Reseller,1,0,1,3,4,1,0,1,2,8,0,1,0,0,4,2,2,1,0,1,0,1,0,1,0
C118,52,1,Region 5,Female,8,7,6,0,529,15,3,5,7,137,102,7,6397,Reseller,1,0,0,0,5,5,0,0,0,5,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1
C119,57,6,Region 3,Female,5,5,7,0,1020,11,5,5,1,169,190,4,6208,Online,0,0,0,1,2,1,1,0,0,9,1,0,1,4,0,0,0,0,0,0,0,0,1,0,1
C120,57,4,Region 10,Female,6,10,6,0,618,14,1,9,4,256,52,6,6434,Online,1,1,1,3,5,2,0,2,1,8,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0
C121,63,6,Region 3,Male,10,6,5,1,561,23,9,4,10,271,131,4,11330,Reseller,1,1,1,2,4,2,1,0,1,7,1,0,0,5,5,2,3,1,1,0,1,0,0,0,1
C122,63,3,Region 2,Female,6,7,5,0,801,18,8,7,3,53,205,2,5315,Online,1,1,0,4,4,0,1,0,3,6,0,0,1,5,0,0,0,1,1,0,0,1,1,0,0
C123,39,2,Region 4,Female,8,10,8,0,996,11,6,0,5,228,79,10,10921,Online,0,1,1,3,4,3,1,0,0,10,1,1,0,4,5,2,3,0,1,1,0,1,0,0,1
C124,51,5,Region 3,Female,5,7,5,1,1782,12,1,3,8,308,295,9,12217,Online,1,0,1,0,3,0,2,0,1,8,1,0,0,1,3,2,1,1,0,0,1,1,0,0,0
C125,54,5,Region 1,Male,9,6,6,0,227,10,4,2,4,123,289,2,5075,Online,1,1,1,3,5,2,2,1,0,8,0,0,1,1,2,2,0,1,1,1,1,0,0,1,0
C126,58,4,Region 8,Male,5,9,7,1,1750,9,0,7,2,345,262,18,6072,Online,1,0,1,1,4,0,1,3,0,10,1,0,0,3,3,0,3,0,0,1,0,0,1,1,1
C127,29,5,Region 7,Female,6,9,7,0,536,22,5,9,8,156,332,4,13263,Direct,0,1,0,2,3,3,0,0,0,5,1,0,1,2,2,0,2,0,1,0,1,1,0,0,0
C128,31,6,Region 5,Female,9,5,10,0,1338,11,2,1,8,354,303,10,9189,Direct,1,0,0,3,4,2,1,0,1,8,1,0,0,3,1,1,0,1,0,1,0,1,1,0,0
C129,54,2,Region 1,Female,8,8,7,0,274,17,6,4,7,125,32,0,10420,Online,1,1,1,1,3,1,1,1,0,10,1,1,1,0,4,0,4,0,1,0,1,0,0,0,1
C130,41,6,Region 4,Female,10,5,7,0,162,19,8,2,9,303,15,0,13636,Online,1,1,1,4,5,1,2,0,2,8,1,0,0,1,4,0,4,1,0,1,1,1,0,0,1
C131,38,2,Region 10,Male,5,9,10,1,1621,5,5,0,0,161,259,12,12785,Reseller,1,1,0,3,3,2,0,1,0,6,0,0,0,4,3,2,1,1,1,0,0,0,1,0,0
C132,31,6,Region 8,Female,6,8,10,1,363,21,9,9,3,280,325,0,10081,Reseller,0,0,1,1,2,1,0,1,0,7,0,1,1,5,1,1,0,0,0,0,0,0,1,1,0
C133,34,5,Region 8,Female,8,8,7,1,1783,17,9,6,2,309,239,18,13433,Online,1,1,0,2,4,2,0,2,0,6,1,1,0,1,2,2,0,1,1,0,0,0,0,1,1
C134,46,2,Region 9,Male,8,8,6,1,1313,11,2,7,2,266,132,10,13427,Online,1,1,0,3,3,3,0,0,0,10,1,0,0,3,4,0,4,1,1,0,0,0,1,0,0
C135,43,3,Region 3,Male,6,7,8,0,815,16,4,8,4,173,186,6,9683,Direct,1,1,0,0,3,2,0,1,0,5,1,1,0,5,2,1,1,1,1,1,0,0,0,0,0
C136,36,2,Region 9,Female,7,8,8,1,1183,10,6,3,1,269,281,15,5051,Direct,1,0,1,5,5,3,2,0,0,6,0,0,0,3,2,0,2,1,0,0,1,1,0,1,1
C137,29,1,Region 3,Male,7,7,6,0,754,14,0,5,9,147,35,6,8068,Reseller,1,1,0,1,5,3,0,0,2,9,1,0,0,4,3,1,2,0,1,1,1,1,0,1,0
